
danger%1:26:00::	danger%1:04:00::
point%1:07:01::	point%1:10:01::
point%1:10:03::	point%1:10:01::
point%1:26:00::	point%1:10:01::
point%1:17:02::	point%1:15:00::
point%1:24:00::	DELETE
point%1:25:02::	DELETE
point%1:10:02::	DELETE
policy%1:10:00::	policy%1:09:00::
power%1:07:02::	power%1:19:00::
power%1:18:00::	power%1:07:00::
power%1:14:00::	power%1:07:00::
power%1:26:00::	power%1:07:00::
power%1:09:01::	power%1:07:00::
program%1:09:01::	program%1:09:00::
program%1:10:04::	program%1:09:00::
program%1:10:00::	program%1:09:00::
program%1:04:00::	DELETE
program%1:10:05::	DELETE
project%1:09:00::	project%1:04:00::
reason%1:26:00::	reason%1:09:00::
reason%1:09:01::	reason%1:16:00::
reason%1:10:00::	reason%1:16:00::
reason%1:10:01::	reason%1:16:00::
result%1:11:00::	result%1:19:00::
rule%1:10:00::	rule%1:09:00::
rule%1:09:01::	rule%1:09:00::
sanction%1:04:01::	DELETE
side%1:10:00::	side%1:14:00::
side%1:15:00::	side%1:15:02::
side%1:15:01::	side%1:15:02::
side%1:08:00::	side%1:15:02::
side%1:06:00::	side%1:15:02::
side%1:17:01::	side%1:15:02::
sport%1:04:01::	sport%1:04:00::
sport%1:10:00::	DELETE
state%1:14:00::	state%1:15:01::
state%1:14:01::	state%1:15:01::
state%1:14:02::	DELETE
state%1:26:01::	state%1:03:00::
state%1:26:02::	state%1:03:00::
support%1:04:00::	support%1:04:04::
support%1:21:01::	support%1:04:04::
support%1:09:00::	support%1:04:04::
support%1:04:02::	support%1:04:04::
support%1:04:03::	support%1:04:04::
support%1:21:00::	support%1:04:04::
support%1:06:00::	support%1:06:01::
table%1:06:02::	table%1:06:01::
table%1:14:01::	table%1:06:01::
table%1:13:01::	table%1:06:01::
test%1:04:00::	test%1:09:02::
way%1:26:00::	way%1:07:01::
way%1:07:02::	way%1:15:00::
way%1:04:02::	way%1:15:00::
way%1:06:00::	way%1:15:00::
way%1:23:00::	way%1:15:00::
world%1:14:02::	world%1:14:01::
world%1:05:00::	world%1:14:01::
world%1:09:01::	world%1:17:01::
writer%1:18:01::	writer%1:18:00::






so%4:02:07::	so%4:02:02::
so%4:02:04::	so%4:02:05::
so%4:02:03::	so%4:02:02::
so%4:02:08::	so%4:02:05::
so%4:02:09::	so%4:02:05::
now%4:02:04::	now%4:02:00::
now%4:02:01::	now%4:02:02::
now%4:02:05::	now%4:02:00::
only%4:02:00::	only%4:02:01::
only%4:02:04::	only%4:02:01::
only%4:02:05::	only%4:02:02::
only%4:02:06::	only%4:02:02::
only%4:02:03::	only%4:02:02::

able%5:00:00:capable:00	able%3:00:00::
able%5:00:00:competent:00	able%3:00:00::
active%3:00:01::	active%3:00:06::
active%3:00:07::	active%3:00:02::
active%3:00:03::	active%3:00:06::
active%5:00:00:existent:00	active%3:00:06::
active%5:00:00:involved:00	active%3:00:06::
local%3:01:01::	local%3:00:01::
common%5:00:00:informal:02	common%3:00:01::
common%5:00:00:familiar:02	common%3:00:01::
simple%5:00:00:easy:01	simple%3:00:02::
important%3:00:02::	important%3:00:00::
important%3:00:04::	important%3:00:00::
important%5:00:00:influential:00	important%3:00:00::
national%3:01:02::	national%3:01:00::
national%3:00:00::	national%3:01:00::
national%5:00:00:domestic:00	national%3:01:00::
national%5:00:00:public:00	national%3:00:01::
new%5:00:00:inexperienced:00	new%3:00:00::
new%5:00:00:unprecedented:00	new%5:00:00:original:00
new%5:00:00:other:00	new%3:00:00::

wink%2:29:00::	wink%2:29:02::
use%2:34:02::	use%2:34:01::
upset%2:37:00::	upset%2:37:01::
undertake%2:41:01::	undertake%2:36:00::
undertake%2:32:01::	undertake%2:36:00::
try%2:34:00::	try%2:41:01::
translate%2:31:00::	translate%2:32:00::
translate%2:35:00::	translate%2:30:01::
translate%2:42:03::	translate%2:30:01::
throw%2:38:00::	throw%2:35:00::
throw%2:35:02::	throw%2:35:00::
switch%2:30:01::	switch%2:30:03::
swing%2:41:01::	swing%2:30:08::
swing%2:33:00::	swing%2:38:02::
swing%2:35:00::	swing%2:38:02::
swing%2:38:00::	swing%2:38:02::
swing%2:42:00::	swing%2:38:02::
swing%2:42:01::	swing%2:30:08::
strike%2:35:01::	strike%2:35:00::
strike%2:35:03::	strike%2:35:00::
strike%2:30:00::	strike%2:36:00::
strike%2:40:00::	strike%2:41:02::
snake%2:38:00::	snake%2:38:01::
smile%2:32:00::	smile%2:29:00::
sink%2:30:00::	sink%2:38:07::
sink%2:38:00::	sink%2:38:01::
sink%2:38:02::	sink%2:38:01::
sink%2:38:06::	sink%2:38:01::
sit%2:39:00::	sit%2:35:00::
sit%2:38:03::	sit%2:35:00::
settle%2:30:03::	settle%2:30:00::
settle%2:30:05::	settle%2:30:02::
settle%2:32:00::	settle%2:31:00::
settle%2:32:01::	settle%2:31:00::
settle%2:32:02::	settle%2:31:00::
settle%2:32:04::	settle%2:31:00::
settle%2:35:01::	settle%2:38:01::
settle%2:38:00::	settle%2:38:01::
settle%2:38:07::	settle%2:38:01::
seek%2:35:00::	seek%2:40:00::
scramble%2:38:01::	scramble%2:38:00::
roar%2:32:01::	roar%2:38:00::
roar%2:32:02::	roar%2:32:03::
ring%2:39:01::	ring%2:39:00::
ring%2:39:04::	ring%2:39:00::
reverse%2:31:00::	reverse%2:30:00::
return%2:30:01::	return%2:30:00::
return%2:32:00::	return%2:30:00::
return%2:38:12::	return%2:38:00::
return%2:40:00::	return%2:40:08::
return%2:40:03::	return%2:40:08::
resist%2:33:01::	resist%2:33:00::
resist%2:41:02::	resist%2:33:00::
resist%2:42:01::	resist%2:33:00::
require%2:34:00::	require%2:42:00::
require%2:32:00::	require%2:32:01::
relieve%2:41:02::	relieve%2:41:01::
relieve%2:37:00::	relieve%2:29:00::
relieve%2:41:00::	relieve%2:41:01::
relieve%2:29:02::	relieve%2:29:00::
relate%2:42:01::	relate%2:31:00::
relate%2:42:00::	relate%2:31:00::
regulate%2:31:00::	regulate%2:30:00::
refer%2:31:00::	refer%2:32:01::
refer%2:32:00::	refer%2:32:01::
refer%2:32:12::	refer%2:42:00::
reduce%2:30:01::	reduce%2:30:00::
reduce%2:30:03::	DELETE
reduce%2:30:04::	reduce%2:30:00::
reduce%2:30:05::	reduce%2:30:00::
reduce%2:30:11::	reduce%2:30:06::
reduce%2:37:00::	reduce%2:30:06::
reduce%2:40:00::	reduce%2:30:06::
reduce%2:41:00::	reduce%2:30:06::
read%2:31:01::	read%2:31:00::
read%2:32:02::	read%2:42:00::
raise%2:30:00::	raise%2:30:01::
raise%2:32:01::	raise%2:32:00::
raise%2:38:02::	raise%2:38:00::
raise%2:41:00::	raise%2:36:03::
raise%2:36:01::	raise%2:32:00::
raise%2:41:00::	raise%2:36:03::
publish%2:36:00::	publish%2:36:01::
provide%2:34:00::	provide%2:40:00::
prove%2:32:00::	prove%2:31:00::
propose%2:31:01::	propose%2:32:00::
propose%2:32:01::	propose%2:32:00::
propose%2:41:00::	propose%2:32:00::
proceed%2:30:00::	proceed%2:41:00::
proceed%2:42:00::	proceed%2:41:00::
operate%2:30:00::	operate%2:35:03::
operate%2:33:00::	operate%2:35:03::
open%2:30:01::	open%2:30:00::
open%2:33:00::	open%2:41:00::
open%2:35:06::	open%2:35:00::
open%2:35:08::	open%2:35:00::
open%2:41:01::	open%2:41:00::
offer%2:31:00::	offer%2:40:00::
offer%2:39:06::	offer%2:40:02::
offer%2:40:01::	offer%2:40:02::
offer%2:40:03::	offer%2:40:02::
offer%2:40:09::	offer%2:40:00::
offer%2:41:00::	offer%2:40:00::
occur%2:42:03::	occur%2:30:00::
occupy%2:42:04::	occupy%2:41:00::
observe%2:39:00::	observe%2:39:02::
observe%2:39:01::	observe%2:39:02::
observe%2:41:00::	observe%2:39:02::
observe%2:41:01::	observe%2:41:04::
observe%2:41:02::	observe%2:41:04::
note%2:39:02::	note%2:39:00::
note%2:32:01::	note%2:32:00::
muffle%2:39:00::	muffle%2:35:00::
minimize%2:32:01::	minimize%2:30:00::
meet%2:41:02::	meet%2:34:00::
meet%2:42:01::	meet%2:34:00::
meet%2:35:00::	meet%2:42:02::
meet%2:38:06::	meet%2:38:01::
meet%2:41:00::	meet%2:38:01::
meet%2:41:01::	meet%2:38:01::
meet%2:41:03::	meet%2:38:01::
match%2:30:01::	match%2:42:00::
match%2:35:08::	match%2:42:00::
match%2:42:01::	match%2:42:00::
mark%2:30:00::	mark%2:35:09::
mark%2:35:01::	mark%2:35:09::
mark%2:35:02::	mark%2:35:09::
mark%2:41:00::	mark%2:35:09::
lose%2:33:01::	lose%2:33:00::
lose%2:35:00::	lose%2:40:02::
lose%2:40:00::	lose%2:40:02::
lose%2:40:01::	lose%2:40:02::
look%2:29:00::	look%2:39:01::
look%2:31:00::	look%2:39:02::
look%2:32:00::	DELETE
look%2:41:13::	look%2:39:02::
look%2:42:02::	look%2:39:01::
locate%2:30:00::	locate%2:40:01::
listen%2:41:11::	listen%2:39:01::
like%2:31:00::	like%2:37:05::
like%2:37:04::	like%2:37:05::
light%2:43:00::	light%2:34:00::
let%2:30:00::	let%2:41:00::
let%2:32:02::	let%2:41:00::
lead%2:32:00::	lead%2:42:04::
lead%2:36:00::	lead%2:41:00::
lead%2:38:00::	lead%2:38:01::
lead%2:38:02::	lead%2:38:01::
lead%2:41:12::	lead%2:42:12::
lead%2:42:01::	lead%2:41:00::
lead%2:42:02::	lead%2:42:04::
lead%2:42:03::	lead%2:42:00::
lead%2:42:12::	lead%2:42:04::
kill%2:35:02::	kill%2:35:00::
kill%2:30:03::	kill%2:41:01::
keep%2:34:00::	keep%2:42:00::
keep%2:40:01::	keep%2:42:00::
keep%2:41:02::	keep%2:42:00::
keep%2:41:05::	keep%2:41:03::
keep%2:42:01::	keep%2:42:00::
keep%2:42:02::	keep%2:42:00::
introduce%2:32:02::	introduce%2:32:00::
introduce%2:30:03::	introduce%2:36:00::
introduce%2:35:00::	introduce%2:36:00::
introduce%2:36:01::	introduce%2:36:00::
introduce%2:38:00::	introduce%2:36:00::
interrupt%2:30:03::	interrupt%2:32:00::
interrupt%2:30:04::	interrupt%2:32:00::
intend%2:31:01::	intend%2:31:00::
intend%2:32:00::	intend%2:31:00::
insist%2:31:00::	insist%2:32:00::
insist%2:32:03::	insist%2:32:00::
initiate%2:36:00::	initiate%2:36:01::
govern%2:41:01::	govern%2:41:02::
found%2:36:00::	found%2:41:00::
fix%2:29:00::	DELETE
fix%2:30:00::	fix%2:35:00::
fix%2:30:02::	DELETE
fix%2:36:01::	fix%2:32:03::
fix%2:33:00::	DELETE
fill%2:30:00::	fill%2:30:01::
fill%2:30:02::	fill%2:30:01::
fill%2:34:00::	fill%2:34:02::
fill%2:34:01::	fill%2:30:01::
fill%2:42:00::	fill%2:30:01::
fill%2:41:01::	fill%2:41:00::
falsify%2:41:00::	falsify%2:32:00::
exercise%2:29:01::	exercise%2:29:00::
exercise%2:41:00::	exercise%2:34:00::
escape%2:32:04::	escape%2:32:00::
dump%2:38:00::	dump%2:40:00::
drip%2:35:10::	drip%2:38:00::
dress%2:29:07::	dress%2:29:00::
dress%2:29:01::	dress%2:29:00::
dress%2:29:05::	dress%2:29:00::
dominate%2:41:00::	dominate%2:42:01::
document%2:31:00::	document%2:32:00::
divide%2:35:00::	divide%2:41:00::
divide%2:35:01::	divide%2:41:00::
divide%2:38:00::	divide%2:41:00::
discontinue%2:30:00::	discontinue%2:42:00::
discontinue%2:42:01::	discontinue%2:42:00::
devote%2:31:00::	devote%2:32:00::
determine%2:31:01::	determine%2:31:02::
determine%2:31:03::	determine%2:31:02::
determine%2:32:03::	determine%2:31:02::
describe%2:31:00::	DELETE
describe%2:35:00::	DELETE
defy%2:32:00::	defy%2:42:00::
deal%2:31:10::	deal%2:32:08::
deal%2:41:00::	deal%2:41:09::
deal%2:41:13::	deal%2:41:09::
deal%2:41:04::	deal%2:41:09::
deal%2:40:00::	deal%2:41:09::
deal%2:40:01::	deal%2:40:02::
dance%2:36:00::	dance%2:38:01::
crack%2:30:00::	crack%2:30:01::
crack%2:30:02::	crack%2:30:01::
crack%2:30:09::	DELETE
crack%2:39:00::	crack%2:39:01::
control%2:37:06::	control%2:41:00::
